code,name
01.03.02,Прикладная математика и информатика
01.03.04,Прикладная математика
01.04.01,Математика
01.04.02,Прикладная математика и информатика
01.04.04,Прикладная математика
02.03.01,Математика и компьютерные науки
02.03.02,Фундаментальная информатика и информационные технологии
02.03.03,Математическое обеспечение и администрирование информационных систем
03.03.02,Физика
03.04.02,Физика
03.05.02,Фундаментальная и прикладная физика
04.03.01,Химия
04.04.01,Химия
04.05.01,Фундаментальная и прикладная химия
05.03.01,Геология
05.03.02,География
05.03.04,Гидрометеорология
05.03.06,Экология и природопользование
05.04.01,Геология
05.04.02,География
05.04.05,Прикладная гидрометеорология
05.04.06,Экология и природопользование
06.03.01,Биология
06.03.02,Почвоведение
06.04.01,Биология
06.04.02,Почвоведение
06.05.01,Биоинженерия и биоинформатика
07.03.01,Архитектура
07.03.03,Дизайн архитектурной среды
07.04.01,Архитектура
07.04.03,Дизайн архитектурной среды
08.03.01,Строительство
08.04.01,Строительство
08.05.01,Строительство уникальных зданий и сооружений
09.03.01,Информатика и вычислительная техника
09.03.02,Информационные системы и технологии
09.03.03,Прикладная информатика
09.03.04,Программная инженерия
09.04.01,Информатика и вычислительная техника
09.04.02,Информационные системы и технологии
09.04.03,Прикладная информатика
09.04.04,Программная инженерия
10.03.01,Информационная безопасность
10.05.01,Компьютерная безопасность
11.03.02,Инфокоммуникационные технологии и системы связи
11.03.04,Электроника и наноэлектроника
11.04.02,Инфокоммуникационные технологии и системы связи
11.04.04,Электроника и наноэлектроника
12.03.01,Приборостроение
12.04.01,Приборостроение
13.03.01,Теплоэнергетика и теплотехника
13.03.02,Электроэнергетика и электротехника
13.04.01,Теплоэнергетика и теплотехника
13.04.02,Электроэнергетика и электротехника
15.03.01,Машиностроение
15.03.04,Автоматизация технологических процессов и производств
15.03.05,Конструкторско-технологическое обеспечение машиностроительных производств
15.03.06,Мехатроника и робототехника
15.04.01,Машиностроение
15.04.02,Технологические машины и оборудование
15.04.04,Автоматизация технологических процессов и производств
15.04.05,Конструкторско-технологическое обеспечение машиностроительных производств
15.04.06,Мехатроника и робототехника
18.03.01,Химическая технология
18.04.01,Химическая технология
19.03.01,Биотехнология
19.03.04,Технология продукции и организация общественного питания
19.04.01,Биотехнология
19.04.04,Технология продукции и организация общественного питания
19.04.05,Высокотехнологичные производства пищевых продуктов функционального и специализированного назначения
20.03.01,Техносферная безопасность
20.04.01,Техносферная безопасность
21.03.01,Нефтегазовое дело
21.03.02,Землеустройство и кадастры
21.03.03,Геодезия и дистанционное зондирование
21.04.01,Нефтегазовое дело
21.04.02,Землеустройство и кадастры
21.04.03,Геодезия и дистанционное зондирование
21.05.01,Прикладная геодезия
21.05.04,Горное дело
22.03.01,Материаловедение и технологии материалов
22.04.01,Материаловедение и технологии материалов
23.03.01,Технология транспортных процессов
23.04.01,Технология транспортных процессов
24.05.05,Интегрированные системы летательных аппаратов
26.03.02,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры"
26.04.02,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры"
26.05.01,"Проектирование и постройка кораблей, судов и объектов океанотехники"
26.05.07,Эксплуатация судового электрооборудования и средств автоматики
27.03.01,Стандартизация и метрология
27.03.02,Управление качеством
27.03.03,Системный анализ и управление
27.03.05,Инноватика
27.04.03,Системный анализ и управление
27.04.05,Инноватика
27.04.07,Наукоемкие технологии и экономика инноваций
29.04.04,Технология художественной обработки материалов
30.05.01,Медицинская биохимия
30.05.02,Медицинская биофизика
31.05.01,Лечебное дело
31.05.03,Стоматология
31.08.01,Акушерство и гинекология
31.08.02,Анестезиология-реаниматология
31.08.05,Клиническая лабораторная диагностика
31.08.09,Рентгенология
31.08.11,Ультразвуковая диагностика
31.08.19,Педиатрия
31.08.35,Инфекционные болезни
31.08.37,Клиническая фармакология
31.08.42,Неврология
31.08.49,Терапия
31.08.53,Эндокринология
31.08.54,Общая врачебная практика (семейная медицина)
31.08.56,Нейрохирургия
31.08.57,Онкология
31.08.58,Оториноларингология
31.08.63,Сердечно-сосудистая хирургия
31.08.65,Торакальная хирургия
31.08.66,Травматология и ортопедия
31.08.67,Хирургия
31.08.68,Урология
31.08.69,Челюстно-лицевая хирургия
31.08.70,Эндоскопия
31.08.71,Организация здравоохранения и общественное здоровье
31.08.77,Ортодонтия
31.08.78,Физическая и реабилитационная медицина
32.04.01,Общественное здравоохранение
33.05.01,Фармация
33.08.01,Фармацевтическая технология
33.08.02,Управление и экономика фармации
33.08.03,Фармацевтическая химия и фармакогнозия
35.04.07,Водные биоресурсы и аквакультура
37.03.01,Психология
37.03.02,Конфликтология
37.04.01,Психология
38.03.01,Экономика
38.03.02,Менеджмент
38.03.05,Бизнес-информатика
38.03.06,Торговое дело
38.03.07,Товароведение
38.04.01,Экономика
38.04.02,Менеджмент
38.04.04,Государственное и муниципальное управление
38.04.05,Бизнес-информатика
38.04.07,Товароведение
38.04.08,Финансы и кредит
38.05.01,Экономическая безопасность
39.03.01,Социология
39.04.01,Социология
40.03.01,Юриспруденция
40.04.01,Юриспруденция
41.03.01,Зарубежное регионоведение
41.03.04,Политология
41.03.05,Международные отношения
41.04.01,Зарубежное регионоведение
41.04.04,Политология
41.04.05,Международные отношения
42.03.01,Реклама и связи с общественностью
42.03.02,Журналистика
42.03.05,Медиакоммуникации
42.04.01,Реклама и связи с общественностью
43.03.01,Сервис
43.03.02,Туризм
43.03.03,Гостиничное дело
43.04.02,Туризм
43.04.03,Гостиничное дело
44.03.01,Педагогическое образование
44.03.03,Специальное (дефектологическое) образование
44.03.05,Педагогическое образование (с двумя профилями подготовки)
44.04.01,Педагогическое образование
44.04.02,Психолого-педагогическое образование
44.04.03,Специальное (дефектологическое) образование
45.03.01,Филология
45.03.02,Лингвистика
45.03.03,Фундаментальная и прикладная лингвистика
45.03.04,Интеллектуальные системы в гуманитарной сфере
45.04.01,Филология
45.05.01,Перевод и переводоведение
46.03.01,История
46.04.01,История
47.03.01,Философия
48.03.01,Теология
48.04.01,Теология
49.03.01,Физическая культура
49.03.02,Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура)
49.04.01,Физическая культура
49.04.02,Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура)
50.04.03,История искусств
51.04.01,Культурология
54.03.01,Дизайн
54.04.01,Дизайн
58.03.01,Востоковедение и африканистика
58.04.01,Востоковедение и африканистика
